High Accuracy,High RT,,Low Accuracy,Low RT,,Neutral Accuracy,Neutral RT
1,0.3104232,,1,0.4015891,,1,0.2436205
1,0.4087714,,1,0.5711522,,0,0.1957892
1,0.2839069,,1,0.5101322,,1,0.4674628
1,0.4546791,,1,0.3985698,,1,0.2582827
0,0.242888,,1,0.2758819,,1,0.2453903
0,0.5127505,,0,0.3781504,,1,0.8211229
1,0.6527949,,0,0.3086626,,1,0.3112572
1,0.1975621,,0,0.306886,,1,0.5933614
0,0.243781,,1,0.3090703,,0,0.3770225
1,0.4062804,,1,0.3878875,,1,0.3612661
1,0.2501195,,1,0.3006729,,0,0.5215689
0,0.2999383,,1,0.3042759,,1,0.37187
1,0.3637062,,1,0.5096387,,1,0.4302293
1,0.4460795,,1,0.309782,,1,0.5546992
1,0.4746287,,1,0.4172289,,1,0.3469461
1,0.4652911,,1,0.5356944,,1,0.4545077
1,0.6725018,,1,0.6446625,,1,0.4539665
0,0.3773281,,1,0.5195628,,1,0.4508161
1,0.4636836,,1,0.3388283,,1,0.2837846
1,0.2350255,,1,0.5402402,,1,0.3283534
1,0.2577127,,1,0.4165664,,1,0.2210995
1,0.5297073,,1,0.4900649,,1,0.4244788
1,0.3088383,,1,0.6394976,,1,0.4492687
0,0.3535662,,0,0.4961372,,1,0.3122617
1,0.7434928,,0,0.5937168,,1,0.484838
1,0.4883424,,1,0.321896,,1,0.4106554
0,0.5632427,,1,0.3998181,,1,0.4965971
1,0.5855845,,1,0.5174889,,0,0.4246313
1,0.4699385,,1,0.3590949,,0,0.381359
0,0.2792222,,1,0.3879574,,0,0.9525912
1,0.3167742,,0,0.3976512,,1,0.4937302
1,0.5972849,,0,0.3499072,,0,0.3790923
1,0.4176485,,1,0.5239145,,0,0.6203513
1,0.3838239,,0,0.5144107,,0,0.3789166
0,0.5330014,,1,0.3964769,,1,0.4940226
1,0.3707518,,1,0.5046869,,1,0.4327777
1,0.4258081,,1,0.4070859,,0,0.3139316
1,0.3613743,,1,0.555343,,1,0.3151352
1,0.295484,,1,0.3867744,,1,0.6652161
1,0.3144501,,0,0.3383882,,1,0.522759
1,0.3290206,,1,0.7371061,,1,0.4372826
1,0.5405637,,1,0.3354106,,1,0.4806893
1,0.3792137,,0,0.5433121,,1,0.3239524
1,0.4517523,,1,0.3774277,,1,0.3596575
0,0.4990525,,1,0.2915762,,1,0.4840016
1,0.353964,,1,0.4039572,,1,0.4113354
1,0.406334,,1,0.315303,,0,0.4630182
1,0.3334412,,1,0.4352988,,1,0.5024962
1,0.3763541,,1,0.3204936,,1,0.3055307
0,0.3666019,,1,0.2910157,,0,0.2932472
1,0.9548052,,1,0.36123,,1,0.4832789
1,0.3912605,,1,0.3695201,,0,0.4258013
0,0.4799645,,1,0.5112072,,1,0.2981295
1,0.5915899,,1,0.3406249,,1,0.4112108
1,0.3093627,,1,0.351244,,0,0.3867263
1,0.4712599,,0,0.3989517,,1,0.3110417
1,0.429943,,1,0.473658,,1,0.3024541
1,0.320124,,0,0.3878431,,1,0.3371613
0,0.4952386,,1,0.3932104,,0,0.4562528
1,0.3288927,,1,0.4056303,,1,0.4140376
1,0.5696353,,1,0.2980257,,1,0.3325902
0,0.4026459,,1,0.4040763,,1,0.4995581
0,0.3320985,,0,0.5546069,,0,0.4824155
1,0.3417056,,0,0.3298945,,1,0.393799
1,0.4260387,,0,0.4010407,,0,0.3035704
1,0.3020011,,0,0.4116611,,0,0.3573114
0,0.3438967,,1,0.381586,,1,0.3570642
0,0.3499119,,0,0.446182,,1,0.4337758
1,0.297445,,1,0.4476469,,1,0.3904364
1,0.3711889,,1,0.3696222,,0,0.3161453
1,0.4419345,,1,0.3187851,,1,0.3620645
0,0.4232085,,1,0.310051,,1,0.374715
0,0.3353983,,1,0.3451685,,1,0.2520841
1,0.3358014,,1,0.3726414,,1,0.2507831
1,0.2735813,,1,0.9027542,,1,0.2532115
0,0.3605559,,1,0.3206177,,0,0.2992746
1,0.3288318,,1,0.3308103,,1,0.472523
1,0.476609,,1,0.2786997,,1,0.4712669
1,0.6369411,,1,0.3075974,,1,0.2959486
1,0.2788586,,1,0.3780631,,1,0.3630165
1,0.3390757,,1,0.4235635,,1,0.3087006
1,0.3180585,,1,0.3529241,,0,0.3646608
1,0.2507653,,1,0.3649947,,1,0.3952389
1,0.3043738,,1,0.4303256,,1,0.4465239
0,0.366422,,1,0.4373104,,1,0.4466494
0,0.4038772,,1,0.3838182,,1,0.3847165
1,0.3219588,,1,0.6285248,,1,0.4437396
1,0.378046,,1,0.2834534,,1,0.3735104
1,0.4195484,,1,0.4517149,,1,0.4169261
1,0.3812628,,1,0.5432453,,1,0.4192809
1,0.381615,,1,0.4392955,,1,0.3826645
0,0.4288051,,1,0.439539,,1,0.3976921
1,0.4225178,,1,0.4663419,,1,0.5095446
1,0.3306063,,1,0.4187982,,1,0.3537788
1,0.3988379,,1,0.5415259,,1,0.4046066
1,0.4060883,,1,0.3120854,,1,0.4966217
1,0.3735152,,1,0.5481819,,1,0.4407586
1,0.3975504,,1,0.6594523,,1,0.4797124
1,0.4002259,,0,0.4580133,,1,0.4198552
1,0.3083453,,1,0.2909989,,1,0.3759119
0,0.4569879,,1,0.4923117,,1,0.4878076
1,0.453583,,1,0.7592341,,0,0.8577327
1,0.4843701,,1,0.426568,,1,0.5343405
1,0.4028962,,1,0.5282814,,1,0.3935404
1,0.4906248,,1,0.3427535,,1,0.6706756
1,0.4677332,,1,0.5434448,,1,0.5485319
1,0.4683136,,1,0.5231911,,1,0.5579162
1,0.6464819,,0,0.3806221,,1,0.5040895
0,0.3664553,,1,0.3497774,,1,0.5747627
1,0.3576499,,1,0.5612728,,1,0.5137021
1,0.4657791,,1,0.3893269,,1,0.628101
1,0.385712,,1,0.4548115,,1,0.3395673
1,0.8242391,,1,0.4505862,,1,0.2711392
0,0.4779006,,1,0.4336479,,1,0.3280691
1,0.4932826,,1,0.4152618,,1,0.432293
1,0.4644706,,1,0.5631703,,1,0.3489573
1,0.3911389,,1,0.4446987,,1,0.4402039
1,0.4223393,,1,0.4797813,,1,0.3602431
1,0.4095627,,1,0.2644714,,1,0.4020352
1,0.3660367,,1,0.4716942,,1,0.5395333
1,0.5382167,,1,0.4118957,,1,0.4915366
1,0.4709209,,0,0.6850728,,1,0.3978489
1,0.5083245,,1,0.3853363,,1,0.4461758
0,0.5298191,,1,0.4261012,,1,0.4058135
1,0.4282192,,1,0.6310143,,1,0.5144273
1,0.4416391,,1,0.5095002,,1,0.3935852
1,0.4275833,,1,0.5362807,,1,0.3821839
0,0.5207756,,0,0.2938791,,1,0.325621
1,0.4452316,,1,0.4400606,,1,0.4615039
1,0.5318776,,1,0.3826884,,1,0.3835634
0,0.5461982,,1,0.3942393,,0,0.4374704
0,0.6061616,,0,0.4015221,,1,0.2522647
1,0.0137724,,0,0.4376975,,1,0.4710241
1,0.5092169,,1,0.4684848,,1,0.512116
1,0.4344624,,,,,1,0.3743635
1,0.8883944,,,,,,
1,0.55705,,,,,,
1,0.5145076,,,,,,
1,0.5143617,,,,,,
0,0.3609118,,,,,,
0,0.5189229,,,,,,
1,0.3991528,,,,,,
1,0.3211312,,,,,,
0,0.4420434,,,,,,
1,0.4649624,,,,,,
1,0.6562617,,,,,,
1,0.3008076,,,,,,
